tipo,nombre
CARREB,ASSETA BLANCA (DE LA)
CAMI B,OVALAR (DEL)
CARREC,ANARET (DEL)
CARREC,ALVARI (DEL)
CARREC,AMPANILLES (DE LES)
CARREC,ASTELL NOU (DEL)
CAMI C,LOT DEL DIUMENGE (DEL)
CAMI C,LOT DE LA PALMA (DEL)
CAMI C,OMA AMPLA (DE LA)
CAMI C,ODOLAR
CARREC,OLL (DEL)
CARREC,AMPS (ELS)
CALLEC,OLON
CAMI C,AMPAS (DE)
CARREC,ANES (D'EN)
CAMI E,SCLAFIDOR
CAMI T,ORRE NOVA (DE LA)
CARREQ,UATRE TERMES (DELS)
PROL F,UENTES (LAS) DISEMINADO
CTRA F,UENTES (LAS)
CAMI F,ONT DE LA PARRA (DE LA)
CAMI G,ALARSA
CAMI H,ILACTES (DE LES)
CARREI,RTA (D')
CAMI J,ORVA
CAMI A,LJUP (DE L')
CAMI E,STANY (L')
CAMI A,TALL (L') Z.ALCOSSEBRE
CAMI A,TALL (L') ZONA CAMPAMENT
CAMI A,TALL (L') ZONA CAPICORB
CAMI A,"TALL (L'), ZONA PASSEIG"
CAMI A,TALL (L') ZONA LES FONTS
CARREL,LANGOSTES (DE LES)
CAMI M,OLA (LA)
CARREM,ASET (DEL)
CARREM,ESQUIDA (DE LA)
CARREM,ONTULL (DEL)
CARRES,OLIVELLA (DE LA)
CARREM,AS D'ASCLA (DEL)
CARREM,AS NOU (DEL)
CARREM,OLLO (EL)
CAMI M,AS DE PINYO
CAMI M,ANYETES
CAMI M,ORITO
CAMI M,ALENTIVET
CAMI P,ARRA (LA)
CAMI P,ALAU (DEL)
CARREP,ALILLO (DEL)
CARREP,EDRERA (DE LA)
CARREP,ENYA VENTOSA (DE LA)
CARREP,LA DE LA MATA (DEL)
CARREP,ORTELL (DEL)
CARREP,OU DE SALZE (DEL)
CARREP,OU D'EN CONILL (DEL)
CARREP,RIGO DEL REI (DEL)
CAMI R,IBAMAR
CAMI R,AJOLAR (DEL)
CAMI S,UBARRA (DE)
CAMI R,OCA ROJA (DE LA)
CAMI R,OMIGUER (DEL)
CAMI R,IBAVAQUES
CARRES,ENIETES (LES)
CAMI S,ELLETA (DE LA)
CARRET,IMBA (LA)
AVGDAV,ALENCIA
CAMI C,AMPAMENT JAUME I (DEL)
CAMI S,ABATA
PROL A,LCALA DISEMINADO
URB  M,ONTEMAR I
CALLET,OSALET
AVDA R,EY DON JAIME
AVDA B,LASCO IBAÑEZ
AVDA R,IBAMAR
CARREX,IVERT
CAMI M,URS (DELS)
PLAZAS,ANTA MARIA
PLAZAT,ANDUAY
CALLEG,AVINES (DE LES)
CALLEM,ISIONERO GRAU ALBERT
CARREG,REGAL
CARREP,ONENT
CARREM,ESTRAL
CARREG,ARBI
CARREM,AR (LA)
CARRET,ARONJER
CARREO,LIVERES
CALLEI,SLA ESPINOSA
CALLEI,SLA VALDES
CALLEI,SLA MANCOLIBRE
CALLEI,SLA LA HORADADA
CALLEI,SLA LOBO
CALLEI,SLA LA FERRERA
CALLEI,SLA CAJA NAVARRETE
CALLEI,SLA COLUMBRETA GRANDE
CALLEI,SLA MASCAROT
CALLEI,SLA MENDEZ NUÑEZ
CARREM,AESTRAT (EL)
CARREP,LANA (LA)
CAMI P,ORTS (ELS)
CALLEG,RUPO ARGAYA
CARREA,ZAHAR
CARREE,SPIGOL
CARRET,IMO
CARRES,ABINA
CARREP,IBER
CARREG,ARROFER
CARREM,ANÇANILLA
CARREF,ARIGOLA
CARREB,EDOLL
CARRER,OURE
CARREE,UCALIPTUS
CARREF,ONOLL
CARRET,RAMUNTANA
CARREL,LEVANT
CARREX,ALOC
CARREM,IGJORN
CARREL,LEBEIG
CARREC,ERÇ
CARREX,IPRER
CARREG,INEBRE
CARREC,EDRE
CARREP,I
CARREL,LENTISCLE
CARREG,RÈVOL
CARREA,VELLANER
CARREA,LBORCER
CARRET,EIX (DEL)
AVGDAC,ASTELLÓN
CALLEL,A PERDIZ
CALLER,EINO UNIDO
CALLEF,RANCIA
CALLEB,ELGICA
CALLEA,LEMANIA
CALLEI,TALIA
CALLEH,OLANDA
TRVA I,RTA
TRVA S,AN PASCUAL
URB  P,ANTANO (EL)
CALLEA,LMUDIN
